DATE,V2TX,V6I1,V6I2
1999-01-04,18.2033,21.2458,17.5555
1999-01-05,29.6912,36.64,28.4274
1999-01-06,25.167,25.4107,25.1351
1999-01-07,32.5205,35.441,32.2004
1999-01-08,33.2296,35.8846,33.002
1999-01-11,36.8411,46.9742,36.4643
1999-01-12,37.5664,48.6277,37.2998
1999-01-13,39.7373,55.2934,39.5218
1999-01-14,39.1373,,39.9544
1999-01-15,38.6741,,39.0602
1999-01-18,38.5439,38.8913,41.5457
1999-01-19,38.7869,38.9344,41.5739
1999-01-20,35.5535,35.506,38.4053
1999-01-21,36.9171,36.6065,40.1856
1999-01-22,39.9439,39.3615,43.1443
1999-01-25,40.7034,39.6008,42.8691
1999-01-26,42.7544,41.8125,44.2239
1999-01-27,41.7569,40.5969,43.2058
1999-01-28,39.1479,38.0734,40.2463
1999-01-29,37.614,37.22,37.952
1999-02-01,37.0314,35.9769,37.5483
1999-02-02,38.6119,37.9446,38.8876
1999-02-03,39.9634,38.9465,40.312
1999-02-04,38.7933,37.6938,39.106
1999-02-05,37.8148,36.3039,38.1672
1999-02-08,38.7652,39.435,38.6795
1999-02-09,39.5509,40.93,39.4112
1999-02-10,40.304,38.4648,40.4405
1999-02-11,37.8309,36.1257,37.9248
1999-02-12,36.0635,35.8203,36.0732
1999-02-15,37.6696,37.9043,37.6678
1999-02-16,36.0135,36.7605,36.0116
1999-02-17,36.6858,41.7057,36.7485
1999-02-18,35.563,,35.8934
1999-02-19,33.9143,,34.4661
1999-02-22,32.0859,32.3856,31.4644
1999-02-23,31.2627,31.4928,30.8899
1999-02-24,30.7791,30.5968,31.0124
1999-02-25,31.7813,32.3411,31.1821
1999-02-26,30.7952,30.6143,30.951
1999-03-01,32.4626,33.4818,31.94
1999-03-02,32.0338,32.6807,31.7593
1999-03-03,31.9273,34.0188,31.165
1999-03-04,30.8785,30.8178,30.8961
1999-03-05,29.2587,28.2572,29.4932
1999-03-08,29.8568,28.3003,30.0482
1999-03-09,28.9631,28.6321,28.9958
1999-03-10,27.9453,27.9845,27.9423
1999-03-11,27.0558,26.8203,27.069
1999-03-12,26.9831,27.1633,26.9759
1999-03-15,27.7671,28.9361,27.7575
1999-03-16,27.4854,30.7105,27.4767
1999-03-17,28.156,39.9562,28.1738
1999-03-18,28.1701,,28.2756
1999-03-19,26.9936,,27.1583
1999-03-22,27.138,27.5911,26.0376
1999-03-23,28.8415,29.4503,27.6684
1999-03-24,29.9038,30.5815,28.8473
1999-03-25,28.0526,28.171,27.9041
1999-03-26,28.573,28.872,28.2587
1999-03-29,27.319,27.1928,27.3978
1999-03-30,27.2308,27.0823,27.3097
1999-03-31,25.2455,24.5876,25.5382
1999-04-01,24.6067,23.8783,24.8816
1999-04-06,24.6069,24.6959,24.5926
1999-04-07,25.0337,25.5237,24.9693
1999-04-08,24.9114,25.629,24.8353
1999-04-09,24.3759,25.6521,24.2681
1999-04-12,25.2893,33.3963,24.9816
1999-04-13,24.4003,33.0476,24.1863
1999-04-14,25.4744,33.5695,25.3658
1999-04-15,26.5825,,27.5811
1999-04-16,25.7353,,26.3517
1999-04-19,25.0928,25.374,27.5039
1999-04-20,26.7889,26.9088,29.0413
1999-04-21,25.7711,25.7227,28.6321
1999-04-22,25.2493,24.9981,27.8716
1999-04-23,25.2358,24.8019,27.6015
1999-04-26,25.7839,25.0609,27.2021
1999-04-27,24.3193,23.3255,25.8344
1999-04-28,24.47,23.6557,25.4809
1999-04-29,24.7805,23.4417,26.1137
1999-04-30,23.737,21.9936,25.1496
1999-05-03,24.1008,22.2449,24.9784
1999-05-04,24.4724,23.5684,24.8407
1999-05-05,25.6464,24.1194,26.1579
1999-05-06,26.9529,26.0376,27.2123
1999-05-07,27.0848,26.3707,27.2527
1999-05-10,27.306,26.1643,27.4472
1999-05-11,26.5551,24.6244,26.7394
1999-05-12,27.5905,25.3399,27.7542
1999-05-14,28.3111,28.2791,28.3123
1999-05-17,30.5288,34.5427,30.4945
1999-05-18,30.8287,33.0406,30.8228
1999-05-19,28.1833,30.2472,28.2785
1999-05-20,25.3421,,25.7008
1999-05-21,23.4528,,23.9326
1999-05-25,26.6217,27.0551,25.9111
1999-05-26,26.6568,27.1819,25.9645
1999-05-27,27.2467,27.7757,26.6794
1999-05-28,25.5676,25.397,25.7145
1999-05-31,24.9911,24.7206,25.1254
1999-06-01,25.1583,24.6443,25.3701
1999-06-02,25.2086,24.6682,25.3943
1999-06-03,25.6438,25.4886,25.6886
1999-06-04,23.3808,21.4144,23.8269
1999-06-07,23.245,21.0597,23.5074
1999-06-08,23.1267,21.5748,23.2752
1999-06-09,22.6426,21.3853,22.7354
1999-06-10,23.4619,23.4159,23.4645
1999-06-11,22.4243,21.5851,22.4572
1999-06-14,23.3682,26.6315,23.3402
1999-06-15,23.0918,26.4708,23.0826
1999-06-16,21.7749,26.0891,21.827
