Date,.V2TX,.V6I1,.V6I2,.V6I3,.V6I4,.V6I5,.V6I6,.V6I7,.V6I8
2010-09-15,23.5735,27.4329,23.5329,26.2496,26.8759,28.8945,30.3826,32.2021,28.7477
2010-09-21,25.0769,24.5319,26.0644,27.1696,29.1555,30.8221,22.0192,32.2907,28.7387
2010-09-22,25.4218,24.7565,26.3973,27.716,29.5691,31.1977,22.0946,32.317,28.8657
2010-09-23,25.563,24.9634,26.2919,27.7266,29.5416,31.4652,31.4942,32.6641,28.8883
2010-09-24,23.6604,22.7864,24.5362,26.2826,28.6446,30.7539,31.2727,32.4475,28.5594
2010-09-27,24.559,23.6857,25.0911,26.5828,29.0233,30.7857,30.8055,32.1459,28.6619
2010-09-28,24.7616,23.9296,25.1939,26.5642,28.9346,30.8596,30.7219,31.9058,30.8032
2010-09-29,25.0618,24.3767,25.3663,26.8776,29.2782,31.1782,30.8881,32.353,30.7677
2010-09-30,26.1124,26.2108,26.0744,27.4919,29.4956,31.468,31.1889,32.5392,30.9373
2010-10-01,26.3651,26.6401,26.2747,27.6738,29.7105,31.6306,31.2835,32.6425,31.1118
2010-10-04,27.0484,28.1878,26.8229,27.9496,29.9456,31.885,31.51,32.911,31.2326
2010-10-05,25.113,25.9674,24.9742,26.3592,28.5978,30.8656,31.3358,32.488,30.8484
2010-10-06,24.6471,25.4616,24.5392,25.7636,28.1648,30.0994,30.5618,31.7168,30.3557
2010-10-07,23.9852,25.2032,23.8545,25.4518,27.6941,29.8146,30.1996,31.5103,30.1726
2010-10-08,22.8174,21.8486,22.8951,24.9717,27.3945,29.6493,30.0712,31.4846,30.7761
2010-10-11,22.5377,23.9911,22.4888,24.648,27.1947,29.5019,30.0977,31.4412,30.8222
2010-10-12,22.751,25.2398,22.696,24.8332,27.3439,29.6198,30.0307,31.4284,30.8519
2010-10-13,21.7702,28.9962,21.6727,24.0201,26.5887,29.1642,30.0262,31.174,30.6733
2010-10-19,22.0645,22.1947,24.4852,23.6202,26.9098,29.0251,29.5919,30.8775,30.6157
